DATE,AFDIS,AFRICAN SUN,ART ZDR,ARISTON,AXIA,BAT,CAFCA,CBZ,CFI,DAIRIBORD,DELTA,ECOCASH,ECONET,EDGARS,FBCH,FIDELITY,FCA/BARCLAYS,(fml)/AFRE,FMP,GB HOLDINGS,GET BUCKS,HIPPO,INNSCOR,LAFARGE CEMENT,MASH  HLDS,MASIMBA,MEDTECH,MEDTECH CLASS B,MEIK,NAMPAK,NATFOODS,N T S,N.M.B,OK ZIMBABWE,PROPLASTICS,R T G,RIOZIM,SEED-CO,SIMBISA,STAR AFRICA,TANGANDA,TRUWORTHS,T. S. L,TURNALL,UNIFREIGHT,WILLDALE,ZBFH,ZECO,ZIMPAPERS,ZIMPLOW,ZIMRE
7-Feb-22,126.0000,7.1282,10.0000,3.4242,55.2628,2964.8000,170.0000,86.0000,102.0000,35.0000,202.5466,59.5247,105.2043,4.3011,29.7500,11.3500,3.5042,20.5833,6.7300,1.9065,5.1600,259.9715,227.3936,82.0500,3.2000,45.0000,24.9875,32.0000,123.9976,13.4000,1355.0000,6.7200,13.0000,26.5038,26.0000,7.0000,43.7272,130.1387,141.6212,1.4101,63.9040,1.9998,80.0000,5.0000,31.0000,3.6015,78.9500,0.0200,2.3935,21.4400,3.4992
8-Feb-22,127.6667,8.0000,10.0000,3.6461,58.1894,2964.8000,170.0000,86.0164,102.0000,30.0000,205.7015,61.5099,106.3990,4.2160,29.0001,11.4000,3.4180,20.5000,6.7004,1.9764,5.1600,259.9715,229.7305,82.0500,3.5000,45.0000,24.9875,32.0000,125.0462,12.5000,1355.0000,6.7200,12.0952,26.5683,26.0000,7.4097,44.0000,130.1891,144.4651,1.3643,70.0138,2.0000,80.0000,5.0000,31.0000,3.6000,78.9500,0.0200,2.5820,21.5750,3.3804
9-Feb-22,127.0250,7.8007,10.0000,3.7235,65.0082,2964.8000,170.0000,86.0500,101.4286,30.0000,210.4387,61.7358,110.5234,4.0000,29.0001,11.4000,3.4118,20.5000,6.7500,1.8761,5.1800,260.1000,237.4141,82.0500,3.2591,45.0000,24.9875,32.0000,125.5123,12.5000,1400.0000,6.7200,12.0000,26.9176,26.0000,7.4100,44.0000,130.3310,146.4750,1.3461,76.5857,2.3500,80.0000,5.0000,31.0000,3.6000,78.9500,0.0200,3.0000,21.6005,3.3725
10-Feb-22,127.0250,7.7042,10.0000,3.5584,70.4928,2964.8000,170.0000,89.8856,102.0000,34.9750,220.3791,68.3421,112.0768,4.1094,28.9356,11.5000,3.4019,21.8906,6.7500,1.9504,5.1800,280.0069,245.2606,85.0000,3.3014,46.0000,25.0000,32.0000,127.9916,12.5000,1400.0000,6.7200,12.0000,27.9860,26.0000,7.4190,46.0000,130.6456,149.6270,1.4607,75.5712,2.2025,80.0000,5.0161,31.0000,3.6009,78.9500,0.0200,3.0012,22.2959,3.3713
11-Feb-22,127.0250,7.5722,10.0000,3.5151,70.8928,2964.7000,170.0000,94.0000,102.0000,34.4375,232.8137,71.1633,119.3132,4.5338,28.9733,11.5000,3.5063,20.1894,6.7500,1.8040,5.1800,334.8933,251.3320,85.0000,3.0448,50.0000,25.0000,32.0000,140.0541,12.5000,1400.0000,6.7200,11.8571,28.6279,26.9706,7.4067,46.0000,142.6562,155.3732,1.4136,77.5603,2.2015,80.0000,5.0000,30.0000,3.5853,78.9500,0.0200,3.0000,22.2959,3.5104
12-Feb-22,127.0250,7.5722,10.0000,3.5151,70.8928,2964.7000,170.0000,94.0000,102.0000,34.4375,232.8137,71.1633,119.3132,4.5338,28.9733,11.5000,3.5063,20.1894,6.7500,1.8040,5.1800,334.8933,251.3320,85.0000,3.0448,50.0000,25.0000,32.0000,140.0541,12.5000,1400.0000,6.7200,11.8571,28.6279,26.9706,7.4067,46.0000,142.6562,155.3732,1.4136,77.5603,2.2015,80.0000,5.0000,30.0000,3.5853,78.9500,0.0200,3.0000,22.2959,3.5104
13-Feb-22,127.0250,7.5722,10.0000,3.5151,70.8928,2964.7000,170.0000,94.0000,102.0000,34.4375,232.8137,71.1633,119.3132,4.5338,28.9733,11.5000,3.5063,20.1894,6.7500,1.8040,5.1800,334.8933,251.3320,85.0000,3.0448,50.0000,25.0000,32.0000,140.0541,12.5000,1400.0000,6.7200,11.8571,28.6279,26.9706,7.4067,46.0000,142.6562,155.3732,1.4136,77.5603,2.2015,80.0000,5.0000,30.0000,3.5853,78.9500,0.0200,3.0000,22.2959,3.5104
14-Feb-22,127.0214,7.5529,10.4207,3.5020,70.1488,2964.7000,170.0000,92.1250,102.0000,34.9694,222.7832,75.3918,122.5255,4.5263,29.1200,11.5000,3.4531,20.0000,7.0000,1.8167,5.0000,332.0000,262.7082,82.0500,2.6334,49.9500,25.0000,32.0000,140.0000,13.2452,1401.4851,6.7200,11.8571,31.9570,27.3467,7.4000,46.0000,171.1500,157.0001,1.4089,75.9340,2.2000,80.0000,5.0000,30.0000,3.4006,78.9500,0.0200,3.0000,22.2528,3.8011
15-Feb-22,138.3489,7.8526,10.3615,3.5019,70.0502,2964.7000,170.0000,86.0264,102.0000,34.9694,225.1014,75.2019,126.4412,4.5011,29.0241,11.5000,3.4710,21.0000,7.0000,1.8189,5.0000,339.9862,253.4253,82.0500,2.7913,45.0006,23.0000,32.0000,140.0033,13.2452,1680.0000,6.7200,13.6500,33.0483,27.5000,7.4890,46.0000,205.0806,160.9623,1.4080,76.1120,2.2000,80.0000,5.0000,24.0000,3.4157,78.9500,0.0200,3.0000,22.2500,3.8417
16-Feb-22,138.3489,7.9975,10.3013,3.5013,70.0300,2964.8500,170.0000,90.0494,102.0000,35.0000,226.3497,80.0345,130.2541,5.0000,31.0333,11.0000,3.5890,22.2008,7.0000,1.8216,5.0000,335.0000,264.7777,82.0500,3.2579,50.0000,23.0000,32.0000,140.4902,13.2500,1698.0180,6.7200,12.0012,34.9878,27.5000,7.4900,46.0000,211.0600,171.3196,1.5026,75.5550,2.2000,80.0000,5.0000,24.0500,3.3533,78.9500,0.0200,3.0336,22.0000,3.8759
